SALES_LOCATION,SKU_CODE,SKU_DESCRIPTION,CUSTOMER_CODE,ORDERNUMBER,ORDERLINENUMBER,SHIPMENTDATE,SHIPPEDQUANTITY,SHIPPEDVALUE,Invoice Number
WEL2,2923276094,Vanilla 500ml,SV,74116,1,6/4/2020,51,$83.23 ,SV7411643986
WEL2,1105523870,Vanilla 1L,SV,74116,2,6/4/2020,20,$38.25 ,SV7411643986
WEL2,3838135483,Chocolate 500ml,SV,74116,3,6/4/2020,47,$76.70 ,SV7411643986
WEL2,7875868020,Chocolate 1L,SV,74116,4,6/4/2020,12,$22.95 ,SV7411643986
WEL2,6146308559,Banana 500ml,SV,74116,5,6/4/2020,15,$24.48 ,SV7411643986
WEL2,8383046664,Banana 1L,SV,74116,6,6/4/2020,5,$9.56 ,SV7411643986
WEL2,2523086324,Pistacchio 500ml,SV,74116,7,6/4/2020,14,$24.16 ,SV7411643986
WEL2,2504955536,Pistacchio 1L,SV,74116,8,6/4/2020,3,$6.96 ,SV7411643986
WEL2,1668431427,Almond 500ml,SV,74116,9,6/4/2020,15,$25.88 ,SV7411643986
WEL2,4579074420,Almond 1L,SV,74116,10,6/4/2020,3,$6.96 ,SV7411643986
WEL2,2938388444,Hazulnut 500ml,SV,74116,11,6/4/2020,14,$24.16 ,SV7411643986
WEL2,9500349027,Hazulnut 1L,SV,74116,12,6/4/2020,3,$6.96 ,SV7411643986
WEL2,8538325357,Lemon sorbet 500ml,SV,74116,13,6/4/2020,43,$61.77 ,SV7411643986
WEL2,1725615692,Lemon sorbet 1L,SV,74116,14,6/4/2020,13,$26.41 ,SV7411643986
WEL2,7512592418,Strawberry sorbet 500ml,SV,74116,15,6/4/2020,24,$34.48 ,SV7411643986
WEL2,7807927045,Strawberry sorbet 1L,SV,74116,16,6/4/2020,7,$14.22 ,SV7411643986
WEL2,2473124490,Caramel pecan 120ml,SV,74116,17,6/4/2020,20,$21.93 ,SV7411643986
WEL2,8532174665,Caramel pecan 500ml,SV,74116,18,6/4/2020,15,$27.03 ,SV7411643986
WEL2,5285571733,Butterscotch Hokey Pokey 120ml,SV,74116,19,6/4/2020,22,$24.12 ,SV7411643986
WEL2,3243814817,Butterscotch Hokey Pokey 500ml,SV,74116,20,6/4/2020,41,$73.88 ,SV7411643986
WEL2,9310654418,Cookies and cream 120ml,SV,74116,21,6/4/2020,21,$23.03 ,SV7411643986
WEL2,8780554611,Cookies and cream 500ml,SV,74116,22,6/4/2020,16,$28.83 ,SV7411643986
WEL2,7710933330,Cookie dough 120ml,SV,74116,23,6/4/2020,22,$24.12 ,SV7411643986
WEL2,1298687562,Cookie dough 500ml,SV,74116,24,6/4/2020,24,$43.25 ,SV7411643986
WEL2,7846604624,Raspberry sorbet 500ml,SV,74116,25,6/4/2020,15,$21.55 ,SV7411643986
WEL2,4448990873,Blueberry sorbet 500ml,SV,74116,26,6/4/2020,11,$15.80 ,SV7411643986
WEL2,8979136562,Coconut sorbet 500ml,SV,74116,27,6/4/2020,11,$15.80 ,SV7411643986
WEL2,2923276094,Vanilla 500ml,PS,56628,1,6/5/2020,49,$79.97 ,PS5662843987
WEL2,1105523870,Vanilla 1L,PS,56628,2,6/5/2020,73,$139.61 ,PS5662843987
WEL2,3798011027,Vanilla 2L,PS,56628,3,6/5/2020,51,$150.86 ,PS5662843987
WEL2,3838135483,Chocolate 500ml,PS,56628,4,6/5/2020,118,$192.58 ,PS5662843987
WEL2,7875868020,Chocolate 1L,PS,56628,5,6/5/2020,45,$86.06 ,PS5662843987
WEL2,4086930842,Chocolate 2L,PS,56628,6,6/5/2020,13,$38.45 ,PS5662843987
WEL2,6146308559,Banana 500ml,PS,56628,7,6/5/2020,71,$115.87 ,PS5662843987
WEL2,8383046664,Banana 1L,PS,56628,8,6/5/2020,25,$47.81 ,PS5662843987
WEL2,7215963159,Banana 2L,PS,56628,9,6/5/2020,6,$17.75 ,PS5662843987
WEL2,2523086324,Pistacchio 500ml,PS,56628,10,6/5/2020,71,$122.51 ,PS5662843987
WEL2,2504955536,Pistacchio 1L,PS,56628,11,6/5/2020,12,$27.85 ,PS5662843987
WEL2,2338792687,Pistacchio 2L,PS,56628,12,6/5/2020,6,$20.66 ,PS5662843987
WEL2,1668431427,Almond 500ml,PS,56628,13,6/5/2020,66,$113.88 ,PS5662843987
WEL2,4579074420,Almond 1L,PS,56628,14,6/5/2020,11,$25.53 ,PS5662843987
WEL2,3615667094,Almond 2L,PS,56628,15,6/5/2020,6,$20.66 ,PS5662843987
WEL2,2938388444,Hazulnut 500ml,PS,56628,16,6/5/2020,68,$117.33 ,PS5662843987
WEL2,9500349027,Hazulnut 1L,PS,56628,17,6/5/2020,12,$27.85 ,PS5662843987
WEL2,5581472778,Hazulnut 2L,PS,56628,18,6/5/2020,6,$20.66 ,PS5662843987
WEL2,8538325357,Lemon sorbet 500ml,PS,56628,19,6/5/2020,119,$170.94 ,PS5662843987
WEL2,1725615692,Lemon sorbet 1L,PS,56628,20,6/5/2020,34,$69.07 ,PS5662843987
WEL2,3204868990,Lemon sorbet 2L,PS,56628,21,6/5/2020,11,$28.42 ,PS5662843987
WEL2,7512592418,Strawberry sorbet 500ml,PS,56628,22,6/5/2020,88,$126.41 ,PS5662843987
WEL2,7807927045,Strawberry sorbet 1L,PS,56628,23,6/5/2020,34,$69.07 ,PS5662843987
WEL2,6914128351,Strawberry sorbet 2L,PS,56628,24,6/5/2020,12,$31.01 ,PS5662843987
WEL2,2473124490,Caramel pecan 120ml,PS,56628,25,6/5/2020,95,$104.17 ,PS5662843987
WEL2,8532174665,Caramel pecan 500ml,PS,56628,26,6/5/2020,47,$84.69 ,PS5662843987
WEL2,5341027352,Caramel pecan 1L,PS,56628,27,6/5/2020,11,$24.50 ,PS5662843987
WEL2,5285571733,Butterscotch Hokey Pokey 120ml,PS,56628,28,6/5/2020,94,$103.07 ,PS5662843987
WEL2,3243814817,Butterscotch Hokey Pokey 500ml,PS,56628,29,6/5/2020,70,$126.14 ,PS5662843987
WEL2,8038536837,Butterscotch Hokey Pokey 1L,PS,56628,30,6/5/2020,25,$55.68 ,PS5662843987
WEL2,9310654418,Cookies and cream 120ml,PS,56628,31,6/5/2020,98,$107.46 ,PS5662843987
WEL2,8780554611,Cookies and cream 500ml,PS,56628,32,6/5/2020,43,$77.49 ,PS5662843987
WEL2,7710933330,Cookie dough 120ml,PS,56628,33,6/5/2020,92,$100.88 ,PS5662843987
WEL2,1298687562,Cookie dough 500ml,PS,56628,34,6/5/2020,98,$176.60 ,PS5662843987
WEL2,7846604624,Raspberry sorbet 500ml,PS,56628,35,6/5/2020,71,$101.99 ,PS5662843987
WEL2,4413194530,Raspberry sorbet 1L,PS,56628,36,6/5/2020,34,$69.07 ,PS5662843987
WEL2,4448990873,Blueberry sorbet 500ml,PS,56628,37,6/5/2020,43,$61.77 ,PS5662843987
WEL2,7895654818,Blueberry sorbet 1L,PS,56628,38,6/5/2020,24,$48.76 ,PS5662843987
WEL2,8979136562,Coconut sorbet 500ml,PS,56628,39,6/5/2020,49,$70.39 ,PS5662843987
WEL2,9160487777,Coconut sorbet 1L,PS,56628,40,6/5/2020,23,$46.72 ,PS5662843987
CHR1,9820775571,Vanilla 10L,KI,62007,1,6/6/2020,1,$8.93 ,KI6200743988
CHR1,6915082529,Caramel pecan 10L,KI,62007,2,6/6/2020,1,$11.74 ,KI6200743988
CHR1,5073628659,Butterscotch Hokey Pokey 10L,KI,62007,3,6/6/2020,1,$11.74 ,KI6200743988
CHR1,6564777716,Cookies and cream 10L,KI,62007,4,6/6/2020,1,$11.74 ,KI6200743988
CHR1,9909375745,Cookie dough 10L,KI,62007,5,6/6/2020,1,$11.74 ,KI6200743988
CHR1,9820775571,Vanilla 10L,DI,82007,1,6/6/2020,1,$8.93 ,DI8200743988
CHR1,6584919483,Chocolate 10L,DI,82007,2,6/6/2020,1,$8.93 ,DI8200743988
CHR1,6667180271,Butterscotch Hokey Pokey 5L,DI,82007,3,6/6/2020,1,$5.91 ,DI8200743988
CHR1,2926651089,Cookies and cream 5L,DI,82007,4,6/6/2020,1,$5.91 ,DI8200743988
CHR1,6303937038,Cookie dough 5L,DI,82007,5,6/6/2020,1,$5.91 ,DI8200743988
CHR1,1332592976,Banana 10L,DI,82007,6,6/6/2020,1,$8.93 ,DI8200743988
CHR1,8636807198,Almond 5L,DI,82007,7,6/6/2020,1,$5.59 ,DI8200743988
CHR1,9672735913,Pistacchio 5L,DI,82007,8,6/6/2020,1,$5.59 ,DI8200743988
CHR1,3927126463,Hazulnut 5L,DI,82007,9,6/6/2020,1,$5.59 ,DI8200743988
CHR1,3630781384,Caramel pecan 5L,DI,82007,10,6/6/2020,1,$5.91 ,DI8200743988
CHR1,2923276094,Vanilla 500ml,WA,58896,1,6/6/2020,64,$104.45 ,WA5889643988
CHR1,1105523870,Vanilla 1L,WA,58896,2,6/6/2020,21,$40.16 ,WA5889643988
CHR1,3838135483,Chocolate 500ml,WA,58896,3,6/6/2020,43,$70.18 ,WA5889643988
CHR1,7875868020,Chocolate 1L,WA,58896,4,6/6/2020,15,$28.69 ,WA5889643988
CHR1,6146308559,Banana 500ml,WA,58896,5,6/6/2020,19,$31.01 ,WA5889643988
CHR1,2523086324,Pistacchio 500ml,WA,58896,6,6/6/2020,20,$34.51 ,WA5889643988
CHR1,1668431427,Almond 500ml,WA,58896,7,6/6/2020,15,$25.88 ,WA5889643988
CHR1,2938388444,Hazulnut 500ml,WA,58896,8,6/6/2020,15,$25.88 ,WA5889643988
CHR1,8538325357,Lemon sorbet 500ml,WA,58896,9,6/6/2020,43,$61.77 ,WA5889643988
